apstar_id,apogee_id,ra,dec,teff,logg,fparam_logvmicro,fparam_m_h,fparam_alpha_m,mn_fe,mn_fe_err
apogee.apo25m.s.stars.4230.2M21302020+1159106,2M21302020+1159106,322.584177,11.9863,4608.244,3.724262,-0.22605,-0.3828,0.2043,-0.1809025,0.0442549
apogee.apo25m.s.stars.4230.2M21302146+1138310,2M21302146+1138310,322.589454,11.641963,4632.133,2.650578,0.13229,0.10059,0.059683,0.06325075,0.02106878
apogee.apo25m.s.stars.4230.2M21302223+1249337,2M21302223+1249337,322.592641,12.826038,4536.867,2.582667,0.062054,0.2424,0.090922,0.03209025,0.01787064
apogee.apo25m.s.stars.4230.2M21302991+1120233,2M21302991+1120233,322.624628,11.339827,4804.968,2.737649,0.13541,-0.46213,0.23135,-0.1231311,0.0422658
apogee.apo25m.s.stars.4230.2M21303430+1223211,2M21303430+1223211,322.642951,12.389197,4920.198,3.542605,0.068336,0.32884,0.024683,0.1256393,0.03099079
apogee.apo25m.s.stars.4230.2M21303456+1225146,2M21303456+1225146,322.644002,12.420741,4634.172,2.749697,0.052661,0.061661,0.13687,-0.04650532,0.02508793
apogee.apo25m.s.stars.4230.2M21303533+1206544,2M21303533+1206544,322.647227,12.115135,4336.548,1.89202,0.15286,-0.45083,0.29541,-0.2217218,0.02469162
apogee.apo25m.s.stars.4230.2M21303963+1205235,2M21303963+1205235,322.665162,12.089869,4717.262,3.047613,-0.015717,0.15229,0.10013,-0.01448564,0.01994942
apogee.apo25m.s.stars.4230.2M21304447+1140244,2M21304447+1140244,322.6853,11.673448,4954.771,3.247463,0.14935,-0.14697,0.15766,-0.09621345,0.03552857
apogee.apo25m.s.stars.4230.2M21304776+1134074,2M21304776+1134074,322.699022,11.568731,4963.591,3.345159,0.12175,0.14239,0.04338,0.04612964,0.0217598
apogee.apo25m.s.stars.4230.2M21305114+1143553,2M21305114+1143553,322.713108,11.732053,4755.976,2.303174,0.21489,-0.24421,0.16182,-0.1074752,0.03157923
apogee.apo25m.s.stars.4230.2M21305152+1244432,2M21305152+1244432,322.714706,12.745336,4824.079,3.030447,0.068,-0.12694,0.21372,-0.09240688,0.03551899
apogee.apo25m.s.stars.4230.2M21305208+1131176,2M21305208+1131176,322.717005,11.521577,4897.081,3.039815,-0.021913,0.016387,0.018038,0.0004757307,0.02469024
apogee.apo25m.s.stars.4230.2M21305294+1244465,2M21305294+1244465,322.720613,12.746268,4884.672,2.334236,0.20533,-0.56945,0.27565,-0.1407944,0.03639933
apogee.apo25m.s.stars.4230.2M21305384+1302232,2M21305384+1302232,322.724358,13.03978,4920.653,2.334731,0.18103,-0.44729,0.12471,-0.09642792,0.03556491
