Name	RA	Dec	Temp	log(g)	[Fe/H]	error([Fe/H])	[alpha/Fe]	[Mn/Fe]	error([Mn/Fe])	chisq(reduced)
2M21321430+1150512	323.059614	11.847562	4560.94	2.566352	0.034836	0.0	0.14518	-0.1014198	0.02644849	0.0
2M21321985+1200376	323.082733	12.010449000000001	4408.77	2.159555	-0.14695999999999998	0.0	0.21488000000000002	-0.05602305	0.02131309	0.0
2M21322044+1123193	323.085171	11.388713000000001	4824.042	2.964496	-0.40016	0.0	0.19114	-0.1764427	0.04091958	0.0
2M21322188+1242149	323.091204	12.704161000000001	4629.964	2.583423	-0.17898	0.0	0.21586	-0.1119933	0.03095289	0.0
2M21322584+1244382	323.107667	12.743963	4742.272	3.086215	0.26382	0.0	0.099996	-0.06276143	0.02096859	0.0
2M21322987+1141508	323.124475	11.697465	4904.032999999999	3.3573980000000003	-0.13624	0.0	0.12065	-0.10669269999999999	0.03914005	0.0
2M21323436+1223152	323.143192	12.387556	4752.106	2.923725	0.048273	0.0	0.063127	-0.04918067	0.02139237	0.0
2M21323631+1137012	323.15133	11.617	4776.016	2.36327	-0.91875	0.0	0.13795	-1.1255110000000002	0.07600329	0.0
2M21323962+1226588	323.16511099999997	12.449689999999999	4652.958	2.630299	-0.11487	0.0	0.081566	-0.1141626	0.022689400000000002	0.0
2M21324071+1224030	323.169642	12.400843	5041.35	2.838584	-0.5095	0.0	0.2852	-0.005184561	0.04047679	0.0
