apstar_id,apogee_id,ra,dec,teff,logg,fparam_logvmicro,fparam_m_h,fparam_alpha_m,mn_fe,mn_fe_err
apogee.apo25m.s.stars.5092.2M15195726+0136525,2M15195726+0136525,229.988617,1.614587,4281.397,1.635097,0.21754,-0.67847,0.27326,-0.2920397,0.02756742
apogee.apo25m.s.stars.5092.2M15194125+0202293,2M15194125+0202293,229.921906,2.041484,4773.479,2.36249,0.17685,-0.28936,0.21589,-0.1242132,0.02604395
apogee.apo25m.s.stars.5092.2M15183081+0133505,2M15183081+0133505,229.628395,1.564053,4735.979,2.522538,0.097861,-0.6054,0.3071,-0.2778336,0.04495048
apogee.apo25m.s.stars.5092.2M15181870+0114351,2M15181870+0114351,229.577937,1.243109,4870.956,2.412873,0.18698,-0.3718,0.2428,-0.1278237,0.02817298
apogee.apo25m.s.stars.5092.2M15180891+0155002,2M15180891+0155002,229.537152,1.916744,5023.767,3.047926,0.1103,-0.62607,0.29367,-0.3688921,0.0803231
apogee.apo25m.s.stars.5092.2M15175948+0123092,2M15175948+0123092,229.497836,1.385893,4461.269,2.263877,0.16468,-0.17737,0.20847,-0.1408211,0.02205949
apogee.apo25m.s.stars.5092.2M15175270+0109384,2M15175270+0109384,229.469618,1.160677,5006.694,3.11932,-0.061921,-0.55488,0.2159,-0.2538436,0.04759061
apogee.apo25m.s.stars.5092.2M15174569+0122462,2M15174569+0122462,229.440378,1.379525,4626.995,2.357834,0.14563,-0.42813,0.33039,-0.2039619,0.03722524
apogee.apo25m.s.stars.5092.2M15173828+0114443,2M15173828+0114443,229.40953,1.245643,4935.073,3.003854,0.092828,-0.56948,0.29425,-0.2074239,0.05088665
apogee.apo25m.s.stars.5092.2M15173717+0218112,2M15173717+0218112,229.404914,2.30313,4914.772,3.008902,0.12708,-0.56196,0.28625,-0.1685943,0.05192889
apogee.apo25m.s.stars.5092.2M15171010+0109022,2M15171010+0109022,229.292116,1.150627,4895.915,3.086496,0.021422,-0.45569,0.23635,-0.1632683,0.04860242
apogee.apo25m.s.stars.5092.2M15170975+0150482,2M15170975+0150482,229.290628,1.846746,5027.645,3.092621,0.11339,-0.5279,0.29059,-0.1496189,0.04089899
apogee.apo25m.s.stars.5092.2M15170458+0114368,2M15170458+0114368,229.269096,1.24357,4484.88,1.984454,0.2484,-0.36157,0.19825,-0.1617209,0.02465941
apogee.apo25m.s.stars.5092.2M15165535+0201075,2M15165535+0201075,229.230652,2.01877,4733.838,2.871058,0.14117,-0.17685,0.21761,-0.1316914,0.02412931
apogee.apo25m.s.stars.5092.2M15165466+0158242,2M15165466+0158242,229.227761,1.973406,4914.878,3.238719,0.047073,-0.23735,0.17929,-0.09920791,0.03160597
apogee.apo25m.s.stars.5092.2M15164780+0220043,2M15164780+0220043,229.1992,2.334547,4496.694,2.060647,0.18775,-0.40827,0.10299,-0.147784,0.02541538
apogee.apo25m.s.stars.5092.2M15164404+0154367,2M15164404+0154367,229.183523,1.910221,4778.833,2.482762,0.1231,-0.89228,0.25693,-0.2453664,0.03665834
apogee.apo25m.s.stars.5092.2M15162202+0149258,2M15162202+0149258,229.091752,1.823837,4369.925,1.891467,0.17004,-0.61766,0.31651,-0.3358917,0.02742735
apogee.apo25m.s.stars.5092.2M15161992+0151592,2M15161992+0151592,229.083029,1.866456,4946.419,2.930212,0.060179,-0.7041,0.2971,-0.2715116,0.04540215
apogee.apo25m.s.stars.5092.2M15160532+0139396,2M15160532+0139396,229.022187,1.661022,4234.104,1.532963,0.23418,-0.70185,0.26025,-0.2605086,0.02750098
apogee.apo25m.s.stars.5092.2M15160320+0119099,2M15160320+0119099,229.013374,1.319438,4812.342,2.423582,0.16007,-0.33962,0.22293,-0.1725556,0.02713702
apogee.apo25m.s.stars.5092.2M15152819+0153131,2M15152819+0153131,228.86748,1.886976,4659.78,2.297054,0.16887,-0.6225,0.27853,-0.2024809,0.04333844
apogee.apo25m.s.stars.5092.2M15152183+0200242,2M15152183+0200242,228.840992,2.006741,4849.283,2.857138,0.04004,-0.50457,0.27784,-0.1972273,0.04000355
apogee.apo25m.s.stars.5092.2M15152127+0228593,2M15152127+0228593,228.838638,2.483147,4546.954,2.152406,0.16942,-0.46733,0.32084,-0.2126515,0.04450219
apogee.apo25m.s.stars.5092.2M15145727+0228185,2M15145727+0228185,228.738663,2.471813,5028.665,2.37893,0.18567,-0.42035,0.22105,-0.1062687,0.05775895
apogee.apo25m.s.stars.5092.2M15144691+0207541,2M15144691+0207541,228.695479,2.131696,4312.791,2.069199,0.10687,0.16907,0.044972,0.02333216,0.01729257
apogee.apo25m.s.stars.4201.2M15213544+0136261,2M15213544+0136261,230.397676,1.607252,4994.418,2.853324,0.10826,-0.5816,0.25489,-0.2103203,0.06004512
apogee.apo25m.s.stars.4201.2M15211407+0159180,2M15211407+0159180,230.308664,1.988348,4871.611,2.876484,0.06748,-0.39602,0.26115,-0.04592019,0.05334569
apogee.apo25m.s.stars.4201.2M15205606+0203565,2M15205606+0203565,230.233599,2.065714,4748.176,2.402483,0.18938,-0.22529,0.17094,0.03313226,0.03186216
