Cluster	OName	ID	Teff	log(g)	VTurb	[Fe/H]L	[Fe/H]	[Mn/Fe]	SimbadName	_RA	_DE
NGC 5904	M5 	III-122 	4001	 0.44	 2.00	-1.26	-1.23	-0.54	Cl* NGC 5904 Arp III-122  	229.60417	+02.05275
NGC 5904	M5 	III-18  	4475	 0.55	 1.70	-1.43	-1.42	-0.45	Cl* NGC 5904 Arp III-18   	229.58396	+02.05894
NGC 5904	M5 	III-3   	4076	 0.63	 1.95	-1.31	-1.41	-0.41	Cl* NGC 5904 Arp III-3    	229.57779	+02.07578
NGC 5904	M5 	III-36  	4227	 0.91	 1.65	-1.28	-1.28	-0.47	Cl* NGC 5904 Arp III-36   	229.59517	+02.05269
NGC 5904	M5 	III-52  	4625	 1.50	 1.45	-1.38	-1.39	-0.36	Cl* NGC 5904 Arp III-52   	229.60121	+02.01919
NGC 5904	M5 	III-53  	4700	 1.05	 1.75	-1.52	-1.64	-0.33	Cl* NGC 5904 Arp III-53   	229.59925	+02.01858
NGC 5904	M5 	III-59  	4575	 1.20	 1.35	-1.30	-1.24	-0.45	Cl* NGC 5904 Arp III-59   	229.60987	+02.04403
NGC 5904	M5 	III-78  	4154	 0.78	 1.95	-1.32	-1.38	-0.45	Cl* NGC 5904 Arp III-78   	229.63429	+02.02614
NGC 5904	M5 	IV-19   	4125	 0.50	 1.70	-1.39	-1.32	-0.43	Cl* NGC 5904 Arp IV-19    	229.64604	+02.01858
NGC 5904	M5 	IV-26   	4650	 1.05	 1.40	-1.41	-1.43	-0.38	Cl* NGC 5904 Arp IV-26    	229.66579	+02.01950
NGC 5904	M5 	IV-30   	4625	 1.00	 1.75	-1.47	-1.47	-0.43	Cl* NGC 5904 Arp IV-30    	229.65371	+02.03492
NGC 5904	M5 	IV-34   	4275	 0.65	 1.55	-1.28	-1.33	-0.40	Cl* NGC 5904 Arp IV-34    	229.67167	+02.03086
NGC 5904	M5 	IV-36   	4575	 1.50	 1.35	-1.27	-1.28	-0.38	Cl* NGC 5904 Arp IV-36    	229.67100	+02.04008
NGC 5904	M5 	IV-4    	4625	 1.55	 1.20	-1.24	-1.40	-0.38	Cl* NGC 5904 Arp IV-4     	229.64508	+02.03964
NGC 5904	M5 	IV-47   	4110	 0.50	 1.85	-1.34	-1.30	-0.53	Cl* NGC 5904 Arp IV-47    	229.67354	+02.06481
NGC 5904	M5 	IV-59   	4229	 0.79	 2.10	-1.40	-1.44	-0.45	Cl* NGC 5904 Arp IV-59    	229.68917	+02.07508
NGC 5904	M5 	IV-81   	3945	 0.00	 1.90	-1.35	-1.37	-0.38	Cl* NGC 5904 Arp IV-81    	229.68729	+02.03431
NGC 6121	M4 	1408    	4525	 1.30	 1.70	-1.18	-1.23	-0.41	Cl* NGC 6121 Lee 1408     	245.81950	-26.57447
NGC 6121	M4 	1411    	3950	 0.60	 1.65	-1.21	-1.26	-0.35	Cl* NGC 6121 Lee 1411     	245.80992	-26.60153
NGC 6121	M4 	1514    	3875	 0.35	 1.95	-1.23	-1.34	-0.36	Cl* NGC 6121 Lee 1514     	245.84904	-26.57494
NGC 6121	M4 	1701    	4625	 1.50	 1.65	-1.20	-1.20	-0.44	Cl* NGC 6121 Lee 1701     	245.87433	-26.53033
NGC 6121	M4 	2206    	4325	 1.35	 1.55	-1.18	-1.21	-0.34	Cl* NGC 6121 Lee 2206     	245.76812	-26.39536
NGC 6121	M4 	2208    	4350	 1.40	 1.70	-1.12	-1.17	-0.38	Cl* NGC 6121 Lee 2208     	245.70867	-26.47364
NGC 6121	M4 	2307    	4075	 0.85	 1.45	-1.20	-1.28	-0.34	Cl* NGC 6121 Lee 2307     	245.82779	-26.39542
NGC 6121	M4 	2406    	4100	 0.45	 2.45	-1.22	-1.26	-0.40	Cl* NGC 6121 Lee 2406     	245.87858	-26.45117
NGC 6121	M4 	3207    	4700	 1.65	 1.70	-1.18	-1.21	-0.44	Cl* NGC 6121 Lee 3207     	246.03567	-26.41547
NGC 6121	M4 	3209    	3975	 0.60	 1.75	-1.22	-1.26	-0.37	Cl* NGC 6121 Lee 3209     	246.01246	-26.40106
NGC 6121	M4 	3215    	4775	 1.40	 1.85	-1.17	-1.24	-0.43	Cl* NGC 6121 Lee 3215     	245.99042	-26.38231
NGC 6121	M4 	3413    	4175	 1.20	 1.65	-1.18	-1.33	-0.27	Cl* NGC 6121 Lee 3413     	245.99762	-26.46600
NGC 6121	M4 	3612    	4250	 1.10	 1.45	-1.20	-1.21	-0.41	Cl* NGC 6121 Lee 3612     	245.93346	-26.50175
NGC 6121	M4 	3624    	4225	 1.10	 1.45	-1.16	-1.24	-0.40	Cl* NGC 6121 Lee 3624     	245.91646	-26.48033
NGC 6121	M4 	4201    	4450	 1.35	 1.85	-1.19	-1.19	-0.44	Cl* NGC 6121 Lee 4201     	245.99446	-26.66364
NGC 6121	M4 	4302    	4775	 1.45	 1.80	-1.18	-1.22	-0.50	Cl* NGC 6121 Lee 4302     	245.90571	-26.63997
NGC 6121	M4 	4511    	4150	 1.10	 1.55	-1.16	-1.16	-0.43	Cl* NGC 6121 Lee 4511     	245.95733	-26.56639
